Comments,Classes
Ghar ki batyn bta kr kya sabit krna chahty hn ye 2no bhai,NA
Ammi ka vlog bhe nikalo,NA
Zainab set kr la,NA
Abe bhutnike 4 din ma ek vlog banayega kia or Bhai ki trhn nh banao kuch new lao,A
Koi namona reh na jye,NA
Tatty Bhai,A
Meri behen Rutaba aap ki aur Ducky bhai ki sb se bari fan hai,NA
Pehlay bara Chay tha ab chota chay bhi agaya Pora khandan hi chay ha,NA
Gando agaya,A
This is business all family are YouTubers,NA
itne bekaar vlog waoooooooo,NA
Sorry bhai glti se click hogya video pe,NA
Chota Ducky Bhai,NA
Abey Nikal Loaray Koi baji waji ka channel bnao wo subscribe karay gay,A
Very good,NA
Love you yaar,NA
Aik din Pakistan me aesa b ayega school bnd hojayengy ur vlogs center khull jayengy,NA
Ducky Bhai ko do vlog ap sa nhi ho ga ya vlog,NA
Duky bhai+lulli bhai,A
Bhabu bhi paissy ka chkar,NA
That Moment Mujhy Abhi Abhi Apny Baba Milay Hain,NA
Ya sub maa siro ka bolny ka tareeqa ek jesa hi hai,NA
Pehlay lagta hay isko isky baba ka ni pata tha,NA
I've a business proposal for you apna channel banate hen aur aap apne page par post krte jao,NA
Sabzii walaa nikla vlog line me mu dekh,NA
MashAllah pura khandan laga ha daily vlogging me,NA
Ducky ke 5 6 din ke vlog ek din mai bna diye is ne,NA
Puri family thndiii,NA
Aby apny pury khandan ko volag na gagaly,NA
ply bolny ki tmeez to sekh lo tum tum lga rakhe,NA
Q Bhai porn video bnani Hain kehta hai mazay ki videos,A
When you order ducky from aliexpress,NA
Ducky bhai plz muneeb k glasses chnge krwado nak py bethty hi nhi hai mathy py charhy rehty hain,NA
Sasta ducky bhai,NA
Sasur ne bahu ko pela,A
Samaj nai ati ye wahi banda hai jo new creators ko keh raha tha kuch sal pehle k youtube per mat ao aur ab apna pura tabbar le k varr gya hai youtube per,NA
Bara bawasir km tha jo chota bawasir vlog banane agya,A
abhi abhi baba mily,NA
mun sy paan nikal k bolo,NA
Aamb per charo aap,A
Welcome bro ducky bhai ki waja sy like kar raha hon,NA
Aby chilay hue allu jese shakal bana k kia tum log tum log lagaye hue hu,A
Hahaha mjhy abhi abhi mery baba mily hain,NA
Kesa bkwas bnda lg rh yrrr,A
next vlog mei us dove soap py mou bhi dho lyi,NA
Abi abi baba mily hein,NA
Tatti barway,A
When you order ducky bhai from draz,NA
Another limited viral loruu appears,A
Is ka right hand kuch zyada he chalta hai,NA
yeh b apny bhai ki trha ateeet batmeez hai,A
Ganad ki video banoo,A
Tum pahla sa hi hagg Raha ta social media pr abb ya be hagna aagaya,A
Better than ducky vlog,NA
Yai kia hai,NA
Ducky bhai i respect u but apnay bhai say bolain k tum log tum log mat bolay,NA
Advance congratulations for 100k,NA
Bahi you need a little effort,NA
fazol treen banda hay ya tu,A
Meme say momin is thousands times better than this shit,A
Ducky version 2.o,NA
he's literally second version of ducky literally copying everything,NA
Mere bhai wo chlorine nhi hogi wo susu tha jo daane nikle hai,A
bhai tm 2no bhai sy mazeeb bawaseer ki omeed h nkll lo,A
Ab ducky ki ami jaan ka b vlog ayga just wait,NA
Tmri shakal nhi dekhni dubra vlog mat banao khuda ka wasty hai,A
Congratulations,NA
sasta ducky bhai,NA
O bhi sara khandan ko e vlogs pa lga de or to koi kam nai,NA
Nepotism YouTube mae bhi agae hae,NA
Abhi abhi mall me apne baba mile hen,NA
Nangi vidio,A
Non PTA ducky Bhai,NA
Sir jee plzz 1 baar falash main apna moo daal kr dekhyeen,A
Jeeyooo thandyy,NA
Vloging ki dunia mai welcome,NA
Best of luck,NA
Nikal loree,A
Yeh kiya bawaserr phila rhay ho,A
Gaariii,NA
Bhabhi deor videos dekhein jald hi isi channel par,NA
Bhabhi dever videos coming soon,NA
Aba kam kar apna fazool vlog,A
Log bolty thy ducky ka chotta Bhai is sy acha content bna sakta ha Pakistani gaming or social media community fuked,A
Nai cake,NA
Sara khandaan totla hai kiya,NA
Aisa vlog chaiye jis ma ap ki shakal na daikhni parai,A
Bawaseer,A
Chuttu,A
Tera maali chef chokidaar kaka kaki waghera waghera reh gaya hai uska vlog banwa de,NA
Qadar karo is post karne wale ki,NA
Shaprr ha ye,NA
Acha theek hai,NA
Bss ye hee rah raha tha YouTube pe,NA
Kl Hum Yhi baat kr rhy thy aj aik or Vid smny a gai,NA
Nawan chutiya agaya,A
Bakwas,A
Bukhii tabrii ghar bahria mai hy or aik neutella k liye bar bar cheekh rha hy,A
Post ka intezar karte karte purkhay mar gaye,NA
Ye tw ducky bhai ka bhi baap nikla,NA
Muu pr bht daane hein thora control kro,NA
Poora khandan ab isi line me araha hai good for them,NA
Very good bro keep it up,NA
Meri trf sy tmhy mery ka salute,NA
Tumhare ghar me toilet nhe hai kia pori family YouTube pe hi aa ke hag rahi hai,A
Aaa gya tu jawan ho k,NA
Family business me abba ko bhi laga do begum aur bhai ko to laga dye ho,NA
Can you upload some knowledgeable as compare to this fazooliyat and time wasting videos,A
Ye bhi haag raha hay YouTube pe,A
He's more funny,NA
Aby kia bawaseer bnaadiya ye,A
Joh bhi 25 saal seh above loog hein won koi bhi in landon ka fan nahi yeh talent hai,A
Love you jani,NA
Keep it up broo,NA
L lag rha ha,A
2nd and ducky bhai,NA
Bat krny ki tameez sekh pehly,NA
Ducky bhai apne chote bhai ka glasses chang kar wao acha nh lagta,NA
Mint margarita wala acha tha,NA
Best of luck muneeb,NA
Best of luck,NA
Itna koi fuzool vlog banaya hai yaqeen mano,A
The activities of both of them are indistinguishable,NA
Ay ty ducky bhai toun v aggyy e shyy j,NA
Recipe likhna zaroori tha,NA
You are great mother nice,NA
Baba abi abi mile hean pehly kisy baba bolty thy,NA
Bhai mia khalifa ki,A
Mint margarita,NA
Me after watching his vlog,NA
O ja mama chupya,A
Ami Abu k b vlog channel banwa do,NA
Ducky bhai ap jesa vlog nhi koi bna skta,NA
Bhai 2-3 or vlogger nikal le ghar se idhr boht garmi ho rhi,NA
Caption parh k smjha ducky ne waqae chooty bhai ko dikha dia vlog main,NA
Mujy bahi us trah ki videos chahye plz bana do,NA
Johnny sins wants to congratulate you,A
Kuch bhi,NA
We don't care what you do please change the video settings to private plus you ain't funny,NA
Ajeeb family hai washroom mn bhi jaty hain to vlog ke sath,NA
Love bro,NA
Great start bachy,NA
Muneeb bahi tum ya apna glasses chang kar lo,NA
Please porn please apna kha jo bolo gy bano ga,A
Banda la juti laway tay isnu lama pa laway,A
Acha vlog ban gya is bandy ka naya naya mal ha naya shok ha,NA
Sary gr waly peasy kamany m lg gye hn,NA
Yae b family ki tara sari family YouTube par e ajaye hai,NA
Recipe likhna zaroori tha,NA
Mujhe abhi abhi mere baba mile hain ajeeb,NA
Ayee mou se supari nikal ke bat kar rahy baba,NA
Soha,NA
Sari qoum k chawalon sab kaam dhanda chor or vlog dekho,A
Hasan asim comments,NA
Dono bhai ik e jaga ik he jesy hagty hain,A
Ye kia bawaseer ha bai,A
Best,NA
Chotta yucky bhai,NA
Dusra ducky,NA
I watched his video after long time their lifestyle has totally changed,NA
Isko dekho yr touba,NA
Chashma change kr do muneeb k,NA
Apne oper 2-3 bnde chor k video bana,NA
Tery or teri bhai dono ki panyako,A
Amazing yr,NA
Lucy bhai,NA
Ap ducky k bhai lag rhy hn,NA
Tum tum kr rhy ho chotye,A
 bhi sashy ma b mojood hain,NA
Mtlb k ab is ko bhi bardsht krna pade ga,NA
Tur ja tur ja,NA
Good luck bro,NA
Tum kya hota phaly tameez sekho kay logo ko bhulna kasy hai,NA
Aby hilna tou bnd kr,NA
Request kar raha ho mujhay ek vedio chahiya gand ki footage karo sab fans ko maza aye ga madar chodo,A
Ducky bhai is best,NA
Global warming ki sab se bari waja hain ye dono bhai,NA
Maze ki videos chawalein mar ra aik arse sy ye,A
Chota bheem lite,NA
Mama papa ko bkru dekhny ki kya zroret ha,NA
Phly apne teeth ka gape bnd krwa,NA
Nikal loray,A
Tum to bry funny tum ek kam kro tum kuch na kro,NA
After tatti bhai now presenting tatta bhai,A
Isi bawaseer ki kami thi bc,A
Lundy ka ducky bhai,A
At least you are better then ducky if you follow your own style,NA
Masaliyo,NA
Good yar fast my hi acha vlog level,NA
Abbu ko bolo vo bhi daily vlogging kry,NA
Bacho wali awaz he nhi,NA
Whole family is becoming blogger pretty sure next news will be that his dad became vlogger,NA
Tera sab kuch aya bss ab nudes rehty,A
Hag zroor raha hai lakin fresh hai,NA
Lgta h duky apny pory khandan ko vlogs py lgaey g,NA
I support you bro your vlogs are entertaining ignore the haters,NA
Ab ise bhi sehna prega continue,NA
Tum log,NA
Lill tatti,A
Brother big fan only you not ducky bhai,NA
Tumhari behn or mah ki entry reh gae h bas,A
Tery vlog b bawaseer tery bhai ky b air teri bhabhii ky b,A
Ye kya chal raha hai bhai family mai vlog fever corona ki tarha pail raha hai,NA
Ducky is your dad,A
3 minutes 3 days,NA
Sry we don't want to see 18+ contents,NA
Good muneeb,NA
Ducky ab sachet main bhi dastiyab,NA
Latreen mein baith kar kab vlog banao ge salo,A
Kisi ko to chor do us bechary ka phla vlog hai,NA
Keep it up,NA
Sahi urdu hai lekin mujhe laga aap dekh sakte ho sahi urdu hai,NA
Ducky bhai mujray k videos chahiye is ko bol kary ga wo bhi bina kaproo k,A
Kia chuss hoo tum log,A
Yeh pagal nh hum pagal hai jo dekhty hain,NA
Lulu hiee hooo,NA
Koshish kro ghr mai gari ya bike ho ge thorra patrol nikal kr halka sa camera pr dal kr jala do,A
Good,NA
Koda ho ker ducky ka sat tapa tap kar is tra ki koi video chaye,A
Aik or,NA
Ek mahina ki vlog ek hi video mein waah,NA
Another product of nepotism,NA
Tum nhi ap,NA
Ye to ducky se bhi upar nikla,NA
Tattti krne ka tareeqa bhi sikhaoo vlog banaoo,A
Bakwas,A
Nikal loree,A
Bakwas banda,A
Bhosdi wala,A
Gaand mara,A
Madar chod,A
Behen chod,A
Chutiya banda,A
Sasta content,A
Loda creator,A
Lund ka,A
Chodu vlog,A
Gandu banda,A
Bakwas vlog,A
Gaandu creator,A
Faltu banda,A
Bhosdi ke,A
Sasta launda,A
Tatti content,A
Bakwas channel,A
Chodu acting,A
Gaand ka,A
Lund content,A
Tatti banda,A
Bakwas acting,A
Sasta chodu,A
Madar channel,A
Behen key lore,A
Chutiya ka,A
Loda vlogger,A
Lund vlog,A
Tatti vlog,A
Bakwaas banda,A
Gaandu content,A
Lauda content,A
Gandu channel,A
Madar content,A
Bhosda creator,A
Chodu channel,A
Bewaakoof banda,A
Choot ka,A
Fuddu content,A
Loda ka,A
Gaand content,A
Bakwas acting,A
Chutiya acting,A
Fuddu vlogger,A
Loda acting,A
Madar channel,A
Gaandu banda,A
Tatti channel,A
Chodu content,A
Bhosdi banda,A
Fuddu creator,A
Bakwas banda,A
Behen ka,A
Loda content,A
Madar banda,A
Gaandu ka,A
Sasta acting,A
Tatti ka,A
Bhosdi content,A
Lund acting,A
Sasta banda,A
Bakwas ka,A
Gandu ka,A
Chutiya vlog,A
Bhosdi ka,A
Tatti creator,A
Madar ka,A
Gaand ka,A
Bakwas channel,A
Fuddu acting,A
Sasti acting,A
Bakwas content,A
Sasta channel,A
Behen ka,A
Chodu acting,A
Loda channel,A
Bakwas banda,A
Bhosdi ka,A
Gaand channel,A
Chutiya channel,A
Madar creator,A
Bakwas acting,A
Loda content,A
Bhosda banda,A
Gaandu ka,A
Fuddu channel,A
Tatti acting,A
Sasta creator,A
Madar content,A
Chutiya acting,A
Bakwas channel,A
Gandu acting,A
Chodu creator,A
Fuddu banda,A
Behen content,A
Bhosdi acting,A
Gaandu content,A
Madar channel,A
Chutiya content,A
Tatti banda,A
Fuddu content,A
Gaand acting,A
Bakwas acting,A
Bhosdi channel,A
Gandu content,A
Sasta content,A
Bakwas vlog,A
Madar vlogger,A
Chodu vlog,A
Bhosda content,A
Gaand content,A
Tatti vlog,A
Fuddu acting,A
Sasta creator,A
Chodu content,A
Madar vlog,A
Gandu acting,A
Bakwas acting,A
Tatti content,A
Behen creator,A
Loda vlogger,A
Chodu channel,A
Fuddu vlog,A
Bhosdi vlog,A
Gaandu acting,A
Madar channel,A
Bakwas content,A
Lund acting,A
Bhosdi content,A
Fuddu creator,A
Chutiya content,A
Tatti channel,A
Loda acting,A
Gaand vlog,A
Bhosdi creator,A
Sasta acting,A
Madar creator,A
Bakwas acting,A
Lund channel,A
Chodu acting,A
Bhosdi acting,A
Gaandu vlogger,A
Madar content,A
Fuddu channel,A
Behen acting,A
Bakwas acting,A
Chutiya channel,A
Loda content,A
Bhosda creator,A
Sasta vlogger,A
Gaand acting,A
Madar acting,A
Tatti creator,A
Bhosdi banda,A
Bakwas vlogger,A
Chodu content,A
Loda acting,A
Tatti acting,A
Fuddu creator,A
Sasta channel,A
Gaandu content,A
Madar channel,A
Bhosda channel,A
Lund creator,A
Chutiya content,A
Bakwas channel,A
Fuddu content,A
Bhosdi content,A
Tatti vlogger,A
Chodu creator,A
Sasta acting,A
Madar content,A
Bakwas vlogger,A
Gaandu channel,A
Behen channel,A
Loda acting,A
Tatti content,A
Fuddu channel,A
Bhosdi acting,A
Madar acting,A
Chutiya vlogger,A
Gaand acting,A
Loda creator,A
Tatti vlog,A
Bakwas content,A
Bhosdi creator,A
Sasta content,A
Fuddu acting,A
Madar content,A
Chodu channel,A
Bhosdi channel,A
Gaandu vlogger,A
Behen content,A
Loda vlogger,A
Fuddu vlogger,A
Bakwas channel,A
Sasta channel,A
Tatti channel,A
Bhosda channel,A
Chodu content,A
Fuddu content,A
Gaand chaat,A
Lund chaat,A
Gaandu kutta,A
Bakchodi master,A
Gaandu launda,A
Bhosda loda,A
Tatti aadmi,A
Loda machine,A
Chodu bacha,A
Behen fuddu,A
Lund bhai,A
Gaandu hero,A
Loda face,A
Bakwasi raja,A
Lund king,A
Madar cut,A
Fuddu face,A
Gaand expert,A
Tatti hero,A
Bakwaas launda,A
Gaandu rapper,A
Loda driver,A
Tatti boy,A
Chodu item,A
Bhosdi rider,A
Bakchod aadmi,A
Gaandu model,A
Lund dealer,A
Gaand bacha,A
Fuddu master,A
Loda bacha,A
Bakwas joker,A
Bhosdi master,A
Tatti legend,A
Madar rider,A
Bhosda model,A
Gaandu waiter,A
Chodu driver,A
Fuddu joker,A
Bakwas player,A
Lund lover,A
Gaand shooter,A
Loda teacher,A
Bakwaas painter,A
Chodu singer,A
Tatti painter,A
Fuddu singer,A
Bhosda lover,A
Madar barber,A
Gaandu artist,A
Loda joker,A
Tatti singer,A
Bakwas dancer,A
Chodu leader,A
Bhosdi painter,A
Gaandu gamer,A
Loda dhobi,A
Gaand fan,A
Fuddu thinker,A
Bakwaas poet,A
Tatti thinker,A
Madar painter,A
Loda chef,A
Gaandu joker,A
Bhosda dancer,A
Tatti worker,A
Bakchod writer,A
Loda actor,A
Fuddu captain,A
Gaandu dancer,A
Bhosdi mechanic,A
Tatti mentor,A
Chodu agent,A
Bakwas promoter,A
Loda helper,A
Gaand rider,A
Madar builder,A
Bhosda fighter,A
Tatti swimmer,A
Chodu butcher,A
Fuddu driver,A
Bakwas carpenter,A
Loda butcher,A
Gaandu musician,A
Tatti mechanic,A
Bhosdi tailor,A
Bakwas barber,A
Chodu cook,A
Gaandu bodyguard,A
Fuddu model,A
Loda vendor,A
Bhosda artist,A
Tatti farmer,A
Madar comedian,A
Chodu seller,A
Gaandu poet,A
Fuddu painter,A
Loda barber,A
Bhosdi chef,A
Bakwas coach,A
Tatti trainer,A
Ab apney choty bhi ko bhe dahndey par laga deya,NA
So nice mashallah muneeb keep it up,NA
New dawlence fridge,NA
Inka alg hi nepotism chal raha,NA
Nepotism ki aulaad,A
Very nice vlog hai,NA
Ducky bai ki language use krty howy dala ha,NA
Yr saad bhai ko vlog bana daay tw na bana muneeb please,NA
Halat dekh bhai apni ja moo change krwa,A
Awam ko pagal bana raka hai,A
Allah kamyab kare,NA
Geo beta,NA
Wahid log galian kha k paisa kama rahe hain,A
Coffee ban jati hai 3 min me or 5 min hilana parta hai,NA
Is brush ki glasses change karwao,A
Yi kya bawaseer bana diye hu,A
Vlog se pehle moo dho liya karo,A
Ducky sala youtube pe aa k hug b de de toh log kahen nice potty,A
Tum dono subah uth kar moo nahi dhoate,A
Abe aik kaam tha jo chutiya karta tha tu bhi aa gaya,A
Editing ducky bhai ki hi hogi,NA
Promoting nepotism phr isi munh se nepo ko roast kroge,A
Ye sab dekhny ke baad,NA
Ducky bhai waiting for reply,NA
Nepotism,NA
Tatti bhai,A
Fatima faisal set kar le,NA
Tou mera lol,A
"Doctor ka beta doctor, samajh jao",A
Ok bharwe,A
Abee ja boosri ke,A
Ami abu ko bhi le aa isi kaam me,A
Good work,NA
Duckey lite version,NA
Imtiaz mall,NA
Beta jo danda tu nikaal raha hai samajh ja or camera rakh de,A
Bosidy k,A
Dono bhai praway khate ho ghar me kuch nahi,A
Vlog acha banata hai,NA
Ab iske baad abu bhi vlogging start karega,NA
Ab isko bhi bardasht karna padega,NA
Chal nikal bonsri ke,A
Chota ducky,NA
Baba mile dua se ya baba g aaye thy khud,NA
Zindagi me na khana dekha na shopping ki,NA
Ye bhi tatti karega ab,A
Ye kya kya dekhna pad raha hai acha hai me andha hu,A
Pura khandan ek kaam pe lag gaya hai,A
In logon ke paas koi kaam nahi chawlain marne ke ilawa,A
Bathroom kab gaye aur kitni der ke liye ye nahi bataya,NA
Dono bhai dimagh ki maa mar rahe hain,A
Rabba ya mujhe chuk le ya ise,NA
Pura khandan le aao,NA
Is se umeed nahi thi,NA
Lanati,A
Yaki bhai ki poori family vlog karegi,NA
Dosra danger aa gaya,A
Elder version of ducky,NA
Tum nahi ap,NA
Roaster ho iska matlab nahi ke bachay ko bhi roast kar do,A
2-3 min me ready hokar ban jati hai,NA
Dusre ki shalwar utaro dono chutiyo dono ek dusre ki lo,A
Nass way yadeenya,NA
Nice effort,NA
Abe chilke ja na,A
Dekh jaffar ducky ka bhai nikla,NA
Pehle bolna to seekh le,A
Maaen aise bache zaya kar deti hain,A
Subscribers patwariyon ki tarah hain,A
Ek aur chawal,A
Family business chotiya,A
Tum log,NA
Loo ek aur aa gaya,NA
I waste my 3 minutes,A
Mashallah,NA
Abhi main jaane laga hu abhi main khane laga hu abhi main hagne laga hu abhi main bound marwane laga hu,A
Sab sy mashoor game har invite par 1200 Rs inaam rozana inamaat 500 Rs tak jitni jaldi ap join karain gy utna zyada kamaen gy,NA
Asi orat ko banda boly kay moun bus ek he cheaz kay leay khola ker lund key leay,A
Kabi Tati Wali video b dekao k o Kisi Karti hai,A
Yar itni chichori harkatein kaise kar lete ho duniya dekh kar hansi hai kya veli qoum hai,NA
Ni hona white es bharway nay,A
Mahnus aurat,A
Kanjar family,A
Dafa door,NA
Areeb best,NA
All the best,NA
Ap ke veido ache ha,NA
Nice,NA
Mashallah nice,NA
Khusree,A
Ab arbyeo ki mojye hi mojye,NA
2No family,NA
Very nice ji,NA
Pata nhi yo know pagal logo he jo inn pagal ko dekhta he waste of time,NA
Lannti kanjar,A
Is me ghalti tumhari nahi hai beta ghalti tumhare baap ki hai jo ghar ka darwaza band nahi kiya,A
Yeh dekhne ke liye mughal badshahon ne apni saltanat ujaad di aur hum free me dekh rahe,NA
Woh bhi aik waqt tha jab bhabhi camera se chup jati thin magar paisay ne kapray utarwa diye,A
Hona chaiy,NA
Shakal dekho zara iski khusray jasi,A
Sb log lant dalo is family pr,A
Hamri Pakistani awam is me kosh hai lannat hai is qoum pe,A
Nice Nice very Nice,NA
Dafa door,NA
Areeb best,NA
All the best,NA
Ap ke video ache hain,NA
Nice,NA
Mashallah nice,NA
Khusree,A
Ab arbyeo ki moj hai,NA
2no family,A
Very nice ji,NA
Pata nahi ye pagal log hi hain jo in pagal ko dekhte hain waste of time,NA
Do it again Areeb bhai,NA
Dobara,NA
Dobara api iqra,NA
Do it again abhi to film start hui thi,NA
Krna chahy,NA
Areeb bhai dobara kare,NA
Ma sha Allah,NA
Api Areeb bhai ke liye meri taraf se bhi task de bhai ko girl banao full makeup karwao dress bhi girl wala shoes bhi completely girl banao,NA
Dobara hona chahiye aur ek task meri taraf se bhai ko behen banao aur gali me ghumao,NA
Iqra api,NA
Dobara hona chahiye,NA
Ye poora din har roz vlog banate hain to namaz kab parte honge,NA
Dobara kare yeh to nahi tha,NA
Dobara,NA
Bhai ne kabhi koi task nahi kiya na hi koi revenge liya to saying yes challenge hona chahiye,NA
Dadaar kare yes bhai,NA
Nice video,NA
Dobara kare please,NA
Hhhhh nice,NA
Assalamualaikum,NA
Hospital to wse ja rhe ho dimag b check krwana,A
Giry huy log gir gay,A
Mari nhi ya abh b zinda ha,NA
Plz ye behyyyai bnd kr do itna paisa he ab bs kro Allah se tauba kro kia tamasha laga rkha he kuch to shrm.kro,NA
Sach m murgi ka panja he lag rha,NA
Over acting ki full on dukan,NA
Nazar lag gae aapko,NA
Panjaban awara,NA
Hijralogy ho tm sb dhakkano,A
Moti ho gyi ho,NA
saza mili jo prank krty,NA
Hr waqt camera pakrane ka bhtreen anjaam hahahahaha,NA
Khusri Khusri,A
Jhot,NA
Gir KR mar jati to Acha hota,A
Mar jti kash,A
Mar Gai ,A
Mar jate to acha hota nasal begerne se bach jate,A
Tu Mari q nhi mar ja humri Jan choroo,A
Vlog bnyego lzmi mot bhe ajyegi Kisi or ko mbile dy gi vlog bna lo,A
Bht he acha hua mar Gai ha na,A
Tum hum kia dafa iqra be or tu be farig log or Kohe kam dhanda nh hai cheap log,A
Mar gai,A
Khusri,A
Wtf ye b clip utha k dal dia girny wla kch b ksm se,A
